Source;Target;Share;Percent;ExportQuantityMillionKg;;Sankeyformat
Mexico;US;0,353;35;875,35;875.35;Mexico [35] US
Netherlands;Germany;0,033;3;82,62;82.62;Netherlands [3] Germany
Peru;Netherlands;0,043;4;107,42;107.42;Peru [4] Netherlands
Peru;US;0,034;3;85,41;85.41;Peru [3] US
Mexico;Canada;0,035;4;87,12;87.12;Mexico [4] Canada
Spain;France;0,018;2;45,82;45.82;Spain [2] France
Mexico;Japan;0,021;2;51,13;51.13;Mexico [2] Japan
US;Canada;0,021;2;52,4;52.40;US [2] Canada
Chile;Netherlands;0,026;3;64,65;64.65;Chile [3] Netherlands
Peru;Spain;0,02;2;48,65;48.65;Peru [2] Spain
New Zealand;Australia;0,027;3;51,81;51.81;New Zealand [3] Australia
Chile;UK;0,030;3;58,09;58.09;Chile [3] UK
Peru;UK;0,030;3;58,89;58.89;Peru [3] UK
Mexico;Spain;0,033;3;64,7;64.7;Mexico [3] Spain
Mexico;Netherlands;0,032;3;61,44;61.44;Mexico [3] Netherlands
Netherlands;Norway;0,030;3;57,78;57.78;Netherlands [3] Norway
Netherlands;Denmark;0,026;3;50,5;50.5;Netherlands [3] Denmark
Netherlands;Sweden;0,024;2;46,12;46.12;Netherlands [2] Sweden
Netherlands;France;0,026;3;88,73;88.73;Netherlands [3] France