Document First Event;Date Document Release;Date Last Amendment
Law passed;25/12/2008;
Law passed;25/12/2013;
Law passed;25/12/2007;
Law passed;25/12/2011;
Law passed;25/12/2009;
Law passed;25/12/2014;
Law passed;01/08/2016;
Law passed;25/12/2012;
Law passed;25/12/2015;
Approved;01/01/2014;
Approved;01/01/2015;
Approved;01/01/2017;
Passed;23/11/2011;
Approved;01/01/2015;
Law passed;25/12/2003;
Law passed;25/12/2013;
Law passed;20/02/2017;
Law passed;02/02/2014;
Law passed;28/04/2013;
Law passed;08/12/2011;
Law passed;01/02/2011;
Law passed;27/01/2011;
Law passed;21/10/2010;
Law passed;15/04/2006;
Law passed;26/09/2005;
Law passed;26/12/2005;
Law passed;29/12/2004;
Law passed;14/08/2004;
Law passed;25/03/2004;
Law passed;28/07/1999;
Law passed;10/10/2013;
Law passed;19/12/2012;
Law passed;16/03/2011;
Law passed;11/02/2015;
Law passed;18/11/2015;
Law passed;24/10/2012;
Law passed;18/11/2010;
Law passed;16/12/2010;
Law passed;13/01/2014;11/04/2018
Law passed;14/06/2013;
Law passed;15/03/2013;
Law passed;17/08/2012;
Law passed;01/02/2012;
Law passed;23/04/2010;
Law passed;05/06/2008;
Law passed;25/12/2011;
Law passed;25/12/2012;
Law passed;25/02/2014;
Law passed;01/02/2016;
Law passed;03/02/2016;
Law passed;13/06/2017;
Law passed;14/02/2018;
Law passed;03/10/2014;
Law passed;03/10/2014;
Law passed;23/12/2009;
Law passed;29/12/2009;
Law passed;14/12/2015;
Law passed;25/12/2018;
Decision issued;11/05/2017;
Law passed;24/09/2015;
Law passed;23/04/2015;
Law passed;01/08/2011;
Law passed;25/12/2012;
Law passed;01/09/2015;
Law passed;21/05/1957;
Law passed;31/12/2010;
Law passed;21/12/2007;
Law passed;12/05/2006;01/01/2010
Law passed;25/08/2006;
Law passed;05/09/2005;
Law passed;19/10/1998;
Law passed;02/01/2007;15/10/2015
Law passed;15/10/2015;
Law passed;28/10/2010;
Law passed;25/07/2016;
Law passed;27/12/2017;
Law passed;15/01/1999;
Law passed;12/06/2018;
Law passed;25/12/2016;
Law passed;25/12/2009;
Law passed;25/12/1999;
Law passed;10/07/2019;
Law published;18/12/2019;
Law passed;20/08/2005;
Law passed;25/12/2007;
Law passed;25/12/2014;
Law passed;23/06/2005;
Law passed;04/11/2010;
Law passed;30/10/2008;
Law passed;01/11/1991;03/10/2011
Law passed;09/11/2004;
Law passed;13/12/2014;
Law passed;21/09/2012;
Law passed;22/07/2012;01/05/2020
Law passed;15/09/2011;
Law passed;29/11/2011;
Law passed;01/07/2010;
Law passed;29/03/2006;01/07/2008
Law passed;01/07/2008;29/09/2017
Law passed;02/12/2015;
Law passed;04/12/2015;
Law passed;21/12/2000;01/03/2016
Law passed;05/07/2010;01/09/2016
Law passed;07/12/2009;
Law passed;25/02/2019;
Law passed;09/06/2009;
Law passed;25/12/2015;
Law passed;04/12/2011;23/08/2017
Law passed;28/06/2010;25/12/2017
Law passed;11/08/2014;
Law passed;21/11/2011;25/12/2015
Law passed;29/07/2011;01/06/2017
Law passed;30/12/2011;
Law passed;01/03/2010;
Law passed;06/07/2007;
Law passed;25/12/2007;
Law passed;25/12/2002;25/12/2007
Law passed;16/03/1993;
Released;18/12/2019;
Approved;19/09/2019;01/01/2020
Law passed;25/12/2003;
Law passed;25/12/2008;
Law passed;25/12/2014;
Law passed;25/12/2013;
Law passed;01/07/2010;25/12/2014
Law passed;30/12/2015;
Law passed;01/03/2005;
Law passed;25/12/2013;
Law passed;08/10/2006;
Law passed;01/10/2008;
Law passed;01/05/2013;
Law passed;01/09/2013;
Law passed;10/12/2012;
Law passed;19/09/2012;
Law passed;25/12/2011;
Law passed;25/12/2009;
Law passed;25/12/2010;
Law passed;18/12/2008;
Law passed;24/07/2003;25/12/2010
Approved;01/06/2014;
Approved;27/03/2017;
Approved;01/03/2015;
Approved;01/05/2013;
Law passed;09/01/2014;25/12/2015
Law passed;01/01/2004;
Law passed;24/04/2012;
Law passed;06/04/2009;
Law passed;21/06/2013;
Law passed;08/12/2010;
Law passed;27/12/2010;
Law passed;28/10/2010;
Law passed;01/10/2010;
Law passed;06/08/2009;
Law passed;31/01/2008;
Law passed;17/09/2007;
Law passed;14/06/2007;
Law passed;05/09/2006;
Law passed;04/05/2006;
Law passed;15/07/1998;
Law passed;08/01/2015;
Law passed;15/04/1997;
Law passed;05/05/1998;25/12/2005
Law passed;01/07/2014;
Law passed;17/07/2013;
Law passed;06/12/2010;
Law passed;10/03/2006;
Law passed;27/12/2005;
Law passed;31/01/2003;24/12/2013
Law passed;14/11/2002;
Law passed;29/04/1999;12/05/2019
Law passed;05/05/1997;04/12/2014
Law passed;01/05/2016;
Law passed;29/03/2019;
approved;18/12/2019;
Law passed;26/09/2012;
Law passed;01/03/2009;
Law passed;25/12/2014;
Law passed;25/12/2003;
Law passed;25/12/2016;
Law passed;18/06/2018;
Law passed;26/07/2001;
Law passed;01/09/2009;
Law passed;25/12/2007;
Law passed;27/02/2013;
Law passed;25/12/2014;
Law passed;31/05/2011;
Law passed;01/01/2015;
Approved;01/01/2020;
Approved;08/04/2013;
Approved;01/07/2017;
Approved;01/09/1995;
Approved;01/05/2010;
Published;01/12/2016;
Law passed;14/11/2014;
Law passed;09/11/2012;
Law passed;15/10/2012;
Law passed;01/12/2010;
Law passed;05/03/2008;
Law passed;12/09/1996;
Law passed;09/04/2009;
Law passed;07/02/2009;
Law passed;22/10/1999;
Law passed;27/09/2016;
Law passed;02/08/2015;02/08/2016
Law passed;29/04/2015;
Law passed;14/11/2014;
Law passed;02/08/2011;
Law passed;04/08/2002;
Law passed;02/08/2016;
Law passed;15/03/2017;
Law passed;01/03/2009;
Law passed;01/03/2017;
Law passed;25/12/2013;
Law passed;10/09/2019;
Law passed;01/08/1996;
Law passed;29/10/2013;
Law passed;29/12/2009;09/12/2010
Law passed;09/12/2009;26/10/2010
Law passed;01/12/2008;
Law passed;25/12/2007;
Law passed;21/11/2007;
Law passed;02/03/2006;
Law passed;03/01/2005;13/03/2016
Law passed;26/04/2002;
Law passed;17/10/2001;
Law passed;18/10/2011;
Law passed;07/07/1999;
Law passed;08/12/2015;
Law passed;11/11/2015;
Law passed;24/07/2000;03/05/2016
Law passed;23/10/2017;
Law passed;26/12/2017;
Decree creating;25/06/2017;11/04/2019
Law passed;13/06/2019;
Law passed;15/03/2018;
Law passed;25/05/2012;03/07/2020
Law passed;23/01/2017;
Law passed;01/06/2013;
Law passed;01/06/2013;
Law passed;01/06/2013;
Law passed;01/06/2013;
Law passed;25/12/2016;
Law passed;22/11/2018;28/11/2019
Decree passed;01/08/2008;05/02/2020
Decree published;28/11/2019;
Decree published;28/11/2019;
Decree published;28/11/2019;
Decree published;05/06/2020;
Passed;15/06/2007;
Approved;25/12/2004;25/10/2020
Law passed;07/03/2013;
Law passed;25/12/2015;
Law passed;25/12/2014;
Law passed;25/12/2012;
Law passed;11/03/2014;
Law passed;08/03/2011;25/07/2014
Law passed;03/05/2011;11/04/2014
Law passed;07/04/2009;
Law passed;14/10/2011;
Law passed;14/11/2008;28/11/2014
Law passed;29/06/2006;28/11/2014
Law passed;09/12/2003;24/07/2015
Law passed;31/03/2001;28/11/2014
Law passed;24/04/1996;28/11/2014
Law passed;01/11/2013;
Approved;24/12/2019;
Law passed;12/05/2014;
Law passed;22/04/2013;
Law passed;21/03/2013;
Law passed;02/04/2013;
Law passed;25/10/2015;
Law passed;01/01/2013;
Law passed;25/12/2012;
Law passed;01/01/2008;
Law passed;20/05/2016;
Law passed;02/06/2014;
Law passed;13/12/2007;
Law passed;25/12/2013;
Law passed;22/12/2011;
Law passed;25/12/2015;
Law passed;25/12/2011;
Law passed;25/12/2011;
Law passed;02/06/2009;
Law passed;22/10/2014;
Law passed;03/02/2012;
Law passed;22/11/2010;
Law passed;03/01/2011;
Law passed;13/06/2014;
Law passed;25/12/2004;
Law passed;16/07/2004;
Law passed;31/10/2013;
Law passed;24/04/2006;
Law passed;14/07/2015;22/07/2020
Law passed;25/12/2010;
Approved;01/01/2004;
Approved;01/01/2013;
Approved;01/01/2015;
Approved;01/05/2014;
Approved;01/01/2014;
Approved;01/06/2016;
Approved;01/01/2015;
Approved;01/01/2020;
Approved;01/01/2016;
Approved;01/01/2014;
Approved;01/07/2014;
Approved;01/01/2015;
Approved;01/04/2014;
Approved;01/03/2014;
Approved;01/08/2015;
Approved;01/01/2013;
Approved;01/03/2013;
Approved;24/12/2015;
Approved;01/08/2017;
Law passed;14/12/2011;
Law passed;13/06/2012;
Law passed;10/12/2009;
Law passed;01/06/2009;
Law passed;01/08/2011;
Law passed;25/12/1992;25/12/2008
Law passed;14/06/2001;
Law passed;31/03/2000;
Law passed;22/02/2013;16/11/2018
Law passed;25/12/2012;30/11/2018
Law passed;23/09/2010;16/11/2018
Law passed;01/09/2010;25/10/2013
Law passed;09/12/2016;
Law passed;21/06/2018;
Last amendment;03/10/2005;
Programme instituted;25/12/2004;
Passed;25/12/2015;16/11/2018
Passed;29/11/2018;01/01/2019
Passed;04/04/2018;01/01/2020
Passed;25/12/2018;01/07/2019
passed;25/12/2018;31/05/2020
Passed;09/06/2017;
Passed;30/03/2012;19/12/2017
Law passed;06/06/2008;
Law passed;17/10/2008;
Law passed;01/07/2017;
Law passed;01/11/2014;
Law passed;06/02/2012;
Law passed;01/12/2014;
Law passed;26/09/2014;
Law passed;01/11/2013;
Law passed;22/03/2012;
Law passed;18/07/2012;
Law passed;19/08/2010;
Law passed;04/12/2008;
Law passed;01/04/2008;
Law passed;04/12/2008;
Law passed;13/03/2004;
Law passed;07/05/2013;
Law passed;26/09/2014;24/02/2020
Law passed;25/12/2017;
Law passed;01/12/2017;
Law passed;05/01/2018;
Law passed;06/10/2008;
Law passed;28/08/2008;
Law passed;12/03/2002;
Law passed;25/12/2008;
Law passed;26/07/2012;
Law passed;14/10/2016;
Law passed;14/12/2005;
Law passed;01/07/2016;
Law passed;02/01/2013;20/07/2017
Law passed;04/12/2017;
Law passed;01/05/2018;
plan passed;01/10/2013;
Law passed;05/11/2014;
Law passed;19/11/2014;
Law passed;01/11/2013;
Law passed;12/03/2011;
Law passed;01/01/2006;26/12/2009
Law passed;16/03/2016;
Law passed;25/12/1987;29/08/2015
Law passed;28/10/2007;
Law passed;20/09/1984;25/12/1998
Law passed;17/05/2014;
Law passed;31/08/2012;
Law passed;02/12/2019;
Law passed;24/04/2012;
Law passed;27/12/2002;
Law passed;03/10/2001;
Law passed;14/07/2011;
Law passed;24/02/2016;
Law passed;26/05/2015;23/03/2018
Law passed;29/12/2016;
Law passed;25/12/2016;01/06/2017
Law passed;30/12/2016;
Law passed;01/01/2015;
Law passed;27/07/2018;
Law passed;10/07/2018;
Law passed;02/08/2018;
Law passed;29/12/2010;
Law passed;24/02/2016;
Law passed;23/11/2016;
Law passed;19/09/2014;
Law passed;16/12/2013;
Law passed;03/11/2011;
Law passed;25/12/2017;
Law passed;25/05/2019;
Law passed;11/10/2004;
Law Passed;28/12/2018;
Approved;31/12/2020;
Law passed;30/11/2014;
Law passed;30/11/2010;
Law passed;12/05/1998;
Law passed;10/04/2003;
Law passed;31/05/2007;
Law passed;30/05/2013;
Law passed;27/02/2015;
Law passed;24/09/2012;
Law passed;01/01/2016;
Law passed;25/12/2016;
Law passed;01/08/2013;
Law passed;25/12/2012;01/06/2016
Law passed;10/11/2013;
Law passed;25/01/2012;
Law passed;17/03/2009;
Law passed;25/12/2008;
Law passed;16/10/1996;
Law passed;13/12/1994;30/06/2010
Law passed;18/10/1990;
Law passed;14/09/2015;
Law passed;07/06/2016;
Law passed;26/09/2017;
Law passed;03/04/2017;
Law passed;01/09/2015;
Law passed;07/08/2017;
Law passed;03/05/2018;
Law passed;14/12/2017;
Law passed;30/05/2018;
Law passed;25/12/2016;
Law passed;20/11/2011;
Law passed;28/05/2018;
Law passed;07/08/2017;
Law passed;07/08/2017;
Law passed;25/05/2018;
Law passed;19/08/2011;
Law passed;23/10/2009;
Plan adopted;25/12/2018;
Law passed;03/10/2007;
Law passed;28/10/2011;
Law passed;14/11/2013;
Law passed;20/02/2009;
Law passed;01/04/2016;
Law passed;19/10/2012;
Law passed;22/05/2009;01/11/2018
Law passed;10/09/2015;
Law passed;17/10/2014;
Law passed;24/06/2003;
Law passed;04/10/2013;
Law passed;09/12/2016;
Law passed;17/11/2005;
Law passed;23/01/2014;
Law passed;10/09/2015;
Decree issued;15/05/2020;
Released;24/12/2019;
Law passed;25/12/2010;
Law passed;22/06/2009;
Law passed;25/12/2007;
Law passed;21/12/1994;19/05/1997
Law passed;25/12/1997;
Law passed;21/04/1994;
Law passed;20/05/1993;
Law passed;01/07/2017;
Law passed;30/04/2017;
Published;25/12/2010;
Law passed;25/12/2013;
approved;01/01/2020;
Law passed;31/01/2012;21/05/2014
Law passed;01/09/2012;
Law passed;01/09/2012;01/06/2014
Law passed;01/01/2001;02/10/2013
Law passed;01/01/2000;21/05/2014
Law passed;22/03/2017;
Law passed;01/10/2015;
Law passed;25/12/1997;
Law passed;28/06/2000;
Adopted;01/11/2019;
Law passed;25/12/2011;
Law passed;24/10/2012;
Law passed;01/12/2011;
Law passed;01/06/2012;
Law passed;01/07/2014;
Law passed;01/07/2015;
Law passed;01/03/2014;
Law passed;25/12/2014;
Law passed;25/12/2014;
Law passed;24/10/2012;
Law passed;10/10/2012;
Law passed;01/10/2011;
Law passed;25/12/2016;
Law passed;03/11/2016;
Law passed;11/02/2014;
Law passed;17/06/2014;
Law passed;26/11/2009;
Law passed;24/12/2011;
Law passed;25/12/2010;
Law passed;11/06/2014;
Law passed;01/08/2013;25/12/2016
Law passed;22/03/2012;
Law passed;25/12/1992;25/12/2011
Law passed;25/12/1991;25/12/2011
Law passed;01/10/2009;25/12/2016
Law passed;25/12/2009;
Law passed;01/10/2009;25/12/2018
Law passed;01/10/2009;25/12/2016
Law passed;25/12/2008;
Law passed;01/01/2007;25/12/2017
Law passed;10/06/2009;
Law passed;06/12/2019;
Law published;24/07/2000;16/06/2010
Law passed;12/06/2009;13/11/2019
Published;01/12/2019;
Law passed;11/10/2009;
Law passed;01/12/2012;
Law passed;25/12/2014;
Law passed;20/01/2014;
Law passed;01/07/2015;
Law passed;11/05/1999;
Law passed;23/07/2006;
Law passed;11/03/2006;
Law passed;25/12/2012;
Law passed;24/11/2016;
Law passed;01/09/2014;
Law passed;25/12/2002;
Law passed;25/12/2014;
Published;11/08/2018;
Law passed;19/12/2018;
Plan published;01/04/2020;
Law passed;01/01/2012;
Law passed;07/08/2012;
Law passed;25/12/2008;
Law passed;07/05/2007;
Law passed;26/07/2001;
Law passed;29/11/2000;
Law passed;25/12/2014;
Law passed;25/12/2016;
Law passed;22/09/2002;
Law passed;02/08/2013;
Promulgated;31/07/2020;
Law passed;10/09/2013;
Law passed;17/02/2013;
Law passed;18/06/2013;
Law passed;14/05/2012;
Law passed;17/09/2012;
Law passed;14/10/2011;
Law passed;20/10/2010;
Law passed;25/12/2012;
Law passed;16/01/2015;
Law passed;12/04/2017;
Law passed;17/07/2009;
Law passed;01/06/2017;
Law passed;19/03/2019;
Plan adopted;02/06/2015;
Plan adopted;01/04/2018;
Approved by cabinet;11/07/2012;
Law passed;01/12/2011;
Law passed;01/02/2008;
Law passed;07/07/2015;
Law passed;12/03/2015;
Law passed;21/12/2014;
Law passed;31/05/2017;
Law passed;22/04/2013;
Law passed;30/05/2012;
Law passed;09/06/2011;
Law passed;09/06/2011;
Law passed;25/12/2010;
Law passed;20/12/2007;
Law passed;31/08/2005;
Law passed;10/03/2008;
Law passed;25/09/2020;
Law passed;24/09/2020;
Law passed;01/10/2015;
Law passed;25/12/1997;
Law passed;25/12/2009;
Law passed;25/12/2007;
Law passed;25/12/2011;
Law passed;02/03/2017;
Approved;19/12/2019;
Law passed;01/09/2003;
Law passed;25/12/1997;
Law passed;25/12/2014;
Law passed;25/12/2015;
Law passed;04/07/2013;
Law passed;01/09/2011;
Law passed;25/12/2010;
Law passed;25/12/2000;
Law passed;25/12/1997;
Law passed;25/12/1997;
Law passed;25/12/1995;25/12/2008
Law passed;25/12/1994;
Law passed;01/05/2016;
Law passed;27/01/2014;
Law passed;14/12/2015;
Law passed;01/07/2013;
Law passed;06/02/2003;
Endorsement by the European Council;28/10/2014;
Law passed;28/05/2014;
Law passed;16/04/2014;
Law passed;08/07/2013;
Law passed;20/12/2013;
Law passed;04/12/2012;05/06/2019
Law passed;11/05/2011;26/02/2014
Law passed;18/06/2010;04/07/2017
Law passed;25/12/2009;
Law passed;25/12/2009;05/04/2014
Law passed;23/04/2009;
Law passed;25/12/2009;25/12/2018
Law passed;25/12/2009;
Law passed;25/12/2005;01/01/2020
Law passed;23/04/2009;
Law passed;23/04/2009;20/06/2019
Law passed;23/04/2009;09/09/2015
Law passed;25/12/2007;06/05/2014
Law passed;31/10/2003;
Law passed;25/12/2004;25/10/2012
Law passed;13/10/2003;14/03/2018
Law passed;16/12/2002;19/05/2010
Law passed;13/12/1999;22/10/2008
Law passed;25/11/2009;
Law passed;25/01/2017;
Law amended;11/01/2018;12/03/2019
Law passed;15/01/2008;
Law passed;20/11/2013;
Law passed;11/12/2013;
Law passed;22/10/2014;
Law passed;30/05/2018;
Directive published;14/12/2016;
Strategy released;08/07/2020;
Document published;11/12/2018;
Published;18/06/2020;
Published;27/11/2019;18/06/2020
Document approved;20/12/2013;
Released;20/07/2016;
Approved;11/12/2018;
Passed;05/06/2019;
Approved;17/04/2019;
Approved;19/11/2020;
Law passed;01/06/2005;
Law passed;25/12/2014;
Law passed;01/08/2017;
Law passed;15/06/1998;
Plan adopted;25/12/2018;
Approved;14/07/2017;
Approved;01/01/2017;
Approved;01/01/2018;
Law passed;01/03/2015;
Law passed;01/09/2013;
Law passed;01/04/2011;
Law passed;01/02/2010;
Law passed;30/06/2010;
Law passed;01/01/2004;
Law passed;10/09/1999;
Law passed;24/11/2016;
Law passed;20/11/2014;
Law passed;28/06/2017;
Law passed;28/06/2013;
Law passed;30/12/2010;23/05/2018
Entry into force;01/07/2020;
Approved;20/12/2019;
Law passed;25/12/2014;
Law passed;25/12/2013;
Law passed;25/12/2012;
Law passed;12/07/2010;
Law passed;03/08/2009;
Law passed;25/12/2007;
Law passed;25/12/2005;
Law passed;17/08/2015;
Law passed;31/12/2017;
Law passed;30/12/2017;03/12/2019
Law passed;26/04/2018;
Law passed;01/06/2018;
Law passed;14/09/2018;
Law passed;23/11/2018;
Law passed;25/12/2018;
law passed;08/11/2019;
Approved;21/12/2015;21/04/2020
Law published;11/02/2020;
Law published;24/12/2019;
Convention set up;02/07/2019;21/06/2020
Plan released;26/05/2020;
Decree published;28/07/2020;
Decree passed;21/04/2020;
Decree passed;18/11/2015;
Approved;01/03/2020;
Plan released;03/09/2020;
Approved;13/03/2020;
Approved;09/06/2020;
Law passed;28/12/2016;02/11/2020
Approved;12/02/2021;
Approved;17/02/2021;
Law passed;01/01/2013;
Law passed;25/12/2012;
Law passed;16/05/2011;
Law passed;29/12/2010;
Law passed;23/04/2010;
Law passed;18/10/2005;
Law passed;01/08/2014;
Law passed;12/12/2013;
Law passed;01/01/2005;
Law passed;01/01/2016;
Law passed;25/12/2007;
Law passed;25/12/2009;
