Document First Event;Date Document Release;Date Last Amendment
Law passed;06/07/1999;
Law passed;25/12/2003;
Law passed;25/12/1995;
Law passed;25/12/2015;
Law passed;25/12/2011;
Law passed;01/11/2016;
Law passed;01/06/1998;
Law passed;09/01/2009;
Law passed;16/02/2007;
Law passed;10/06/2013;
Law passed;12/10/2012;
Law passed;25/04/2011;
Law passed;01/08/2004;
Law passed;20/04/2011;
Law passed;25/03/2015;
Law passed;30/10/2017;
Law passed;03/02/1997;
Approved;28/10/2019;
Released;01/07/2018;
Law passed;04/08/2014;
Law passed;25/12/1996;25/12/2010
Law passed;25/12/2009;
Law passed;01/03/2015;
Law passed;01/01/2014;
Law passed;01/03/2010;
Law passed;20/11/2015;
Law passed;02/05/2018;
Law passed;25/12/2016;
Law passed;25/12/1984;
Law passed;01/11/2017;
Approved;01/01/2015;
Approved;01/11/2012;
Law passed;03/07/2014;
Law passed;30/12/1999;
Law passed;14/09/2015;
Law passed;16/12/2014;
Law passed;07/10/2005;
Law passed;07/09/2007;
Law passed;26/06/2007;
Law passed;09/10/2001;
Law passed;01/07/2012;
Law passed;10/10/2016;
Law passed;16/01/1995;
Law passed;15/09/2017;
Law passed;11/05/2015;
Document released;01/10/2016;
Law passed;30/01/2014;
Law passed;29/06/2014;
Law passed;15/07/2010;
Law passed;28/06/2008;
Law passed;01/05/2008;
Law passed;23/12/2007;
Law passed;15/07/2003;31/03/2005
Law passed;18/11/2002;
Law passed;08/09/2000;23/10/2007
Law passed;07/07/2016;
Law passed;23/09/2015;
Law passed;24/11/2010;
Law passed;21/07/2016;
Law passed;18/04/2018;01/01/2020
Law passed;21/07/2016;
Law passed;24/07/2016;
Law passed;24/11/2014;
Law passed;16/08/2012;
Order 43 approved;23/05/2011;16/05/2017
Law passed;01/11/2011;
Law passed;28/04/2010;
Law passed;27/05/2010;
Law passed;20/10/2010;
Law passed;30/11/2009;
Law passed;27/07/2009;20/01/2010
Approved by President;16/12/2008;
Approved;17/05/2006;24/06/2016
Law passed;27/03/2006;
Law passed;25/03/1998;
Law passed;08/09/1993;
Law passed;12/09/1991;
Law passed;16/04/2010;
Approved;01/01/1991;
Approved;26/02/2009;
Approved;01/01/2016;
Approved;01/12/2011;
Approved;01/12/2013;
Approved;01/01/2016;
Approved;22/06/2015;
Approved;01/01/2017;
Passed;27/07/2015;
Approved;11/09/2020;
Law passed;15/04/2014;
Law passed;29/10/2013;
Law passed;15/04/2011;01/05/2011
Law passed;18/09/2009;
Law passed;03/11/2009;
Law passed;01/11/2009;02/02/2021
Law passed;10/04/1997;01/09/2015
Law passed;25/08/2006;23/07/2013
Law passed;20/02/2015;29/08/2019
Law passed;20/05/2016;29/06/2018
Law passed;08/12/2017;
Plan adopted;16/03/2017;
Law passed;20/12/2019;20/02/2020
Regulation 2189 issued;05/11/2019;23/12/2019
Law passed;14/12/2018;01/05/2020
Approved;25/12/2019;
Signed by president;05/02/2018;
Law passed;10/04/2013;
Law passed;12/03/2012;
Law passed;26/11/2010;
Decree passed;24/12/2010;
Law passed;26/04/2010;11/06/2014
Law passed;23/08/2006;30/07/2015
Law passed;24/03/2006;
Law passed;17/03/2005;
Law passed;12/06/2017;22/08/2019
Law passed;02/02/2018;
Law passed;30/07/2015;
Law passed;20/08/2000;
Law passed;03/07/2006;25/12/2015
Law passed;31/12/2014;
Law passed;03/06/2019;
Decree-Law 33-A/2005 issued;16/02/2005;31/05/2007
Decree passed;14/03/2012;
Decree passed;25/03/2010;30/04/2015
Resolution approved;01/07/2019;
Document approved;30/07/2020;
Document published;06/04/2020;
Approved;01/12/2019;
Law passed;01/07/2008;
Law passed;25/12/2002;
Law passed;04/08/2014;25/12/2016
Law passed;20/11/2014;
Law passed;01/06/2013;
Law passed;15/03/2013;
Law passed;01/12/2013;
Law passed;19/07/2012;27/07/2020
Law passed;17/07/2011;
Law passed;11/11/2011;
Law passed;06/11/2008;25/12/2018
Law passed;01/01/2007;
Law passed;30/12/2005;
Law passed;15/07/2003;
Law passed;23/05/2002;
Law passed;05/10/2016;
Law passed;24/06/2019;
Approved;01/04/2020;
Law passed;15/04/2014;
Law passed;30/09/2013;
Law passed;25/12/2009;
Law passed;25/12/2009;
Law passed;13/11/2009;
Law passed;25/12/2009;
Law passed;25/12/2009;
Law passed;25/12/2003;
Law passed;25/12/2001;
Law passed;11/06/2013;
Plan released;04/01/2020;
Law passed;08/05/2013;
Law passed;01/09/2013;
Law passed;25/06/2012;
Law passed;01/11/2011;
Law passed;30/08/2010;
Law passed;01/05/2005;
Law passed;01/07/2000;
Law passed;27/08/2013;
Approved;01/06/2012;
Plan adopted;01/09/2013;
Law Passed;13/08/2018;
Law passed;01/07/2014;
Law passed;25/04/2011;
Law passed;07/12/2019;
Law passed;01/02/2013;
Law passed;25/12/2005;
Law passed;01/05/2006;
Law passed;31/01/2010;
Law passed;11/04/2019;
Law passed;04/01/2016;
Law passed;03/09/2019;
Law passed;11/01/2013;
Law passed;31/08/2015;
Law passed;19/10/2010;
Law passed;28/01/2011;
Law passed;25/12/2007;
Law passed;01/02/2011;
Law passed;01/06/2007;
Law passed;01/06/2013;
Law passed;25/12/2012;
Law passed;01/12/2016;
Law passed;25/12/2008;
Approved;16/02/2007;
Law passed;07/05/2008;
Law passed;27/06/2013;
Law passed;27/04/2012;
Law passed;25/12/2012;
Law passed;25/12/2014;
Law passed;17/04/2010;
Law passed;25/12/2008;
Law passed;25/04/2016;
Law passed;22/07/2014;
Law passed;17/06/2013;
Law passed;17/05/2013;
Law passed;17/02/2011;
Law passed;22/06/2010;
Law passed;20/12/2010;
Law passed;25/01/2008;
Law passed;15/11/2006;
Law passed;07/03/2003;25/12/2011
Law passed;12/04/2001;
Law passed;07/03/2013;
Law passed;03/03/2012;
Law passed;08/10/2010;
Law passed;10/10/2008;
Law passed;04/05/2015;
Law passed;29/06/2009;
Law passed;25/01/2013;
Law passed;25/12/2014;
Law passed;15/03/2013;
Law passed;25/12/2010;
Law passed;29/12/2011;
Law passed;25/12/2013;
Law passed;01/11/2009;
Law passed;18/12/2012;
Law passed;19/08/2014;
Law passed;16/11/2015;
Law passed;25/12/2012;
Law passed;25/12/2014;
Law passed;19/11/2015;
Law passed;13/09/2012;
Law passed;01/08/2003;
Law passed;25/12/2013;
Law passed;09/09/2019;
Law passed;25/12/2010;
Law passed;25/12/2010;
Law passed;25/12/2015;
Law passed;25/12/2015;
Law passed;08/11/2014;
Law passed;14/06/2012;
Law passed;01/07/2012;31/05/2014
Law passed;01/07/2002;31/03/2003
Law passed;01/04/2001;01/03/2012
Law passed;01/04/2001;01/05/2006
Law passed;12/04/2001;14/02/2008
Law passed;01/05/1989;01/12/2012
Law passed;10/07/2016;
Law passed;11/04/2018;29/02/2020
Law passed;25/12/2017;
Law passed;26/03/2014;
Law passed;15/11/2013;
Law passed;01/09/2013;
Law passed;20/12/2012;01/01/2015
Law passed;18/09/2012;
Law passed;01/09/2012;01/12/2014
Law passed;01/09/2012;01/12/2014
Law passed;01/01/2012;
Law passed;01/09/2011;
Law passed;19/12/2011;
Law passed;01/09/2009;02/01/2015
Law passed;04/11/2008;01/12/2014
Law passed;15/10/2008;
Law passed;21/12/2007;01/12/2014
Law passed;01/09/2006;01/01/2013
Law passed;01/01/2005;01/01/2015
Law passed;10/10/2001;
Approved;01/12/2019;
Law passed;04/04/2006;
Law passed;04/03/2014;
Law passed;28/12/2009;
Law passed;20/11/2007;
Law passed;24/12/2016;
Law passed;25/12/2010;
Law passed;01/12/2016;
Approved;27/02/2020;
Law passed;01/06/2012;
Law passed;20/11/2011;
Law passed;25/12/2014;
Law passed;01/04/2016;
Law passed;01/07/2011;
Law passed;06/09/2019;
Approved;01/01/1989;
Approved by cabinet;18/10/2011;
Law passed;01/09/2010;
Law passed;01/11/2009;01/11/2013
Law passed;25/12/2008;01/04/2012
Law passed;03/04/2017;
Law passed;15/01/2003;
Law passed;11/02/2009;
Law passed;06/01/2019;
Law passed;05/03/2019;
Law passed;11/02/2009;
Law passed;26/06/2014;
Law passed;01/08/2005;
Law passed;29/05/2015;
Approved;17/10/2019;
Plan approved;15/08/2012;15/09/2017
entry into force of enforcement decree;15/11/2012;
Law passed;24/11/2011;
Law passed;01/08/2010;
Entry into force of enforcement decree;14/04/2010;24/05/2016
Law passed;01/02/2010;01/07/2013
Law passed;01/12/2009;01/07/2013
Law passed;01/09/2006;01/07/2011
Law passed;25/12/2004;01/05/2011
Law passed;25/12/2004;01/04/2010
Law passed;25/12/1991;01/04/2010
Law passed;25/12/1990;01/10/2020
Law passed;01/01/1980;01/07/2013
Law passed;06/12/2016;24/07/2018
Law passed;29/12/2017;
Law passed;25/12/2008;25/12/2014
Law passed;18/04/2011;
Law passed;22/06/2015;25/12/2017
Law passed;11/03/2004;27/12/2015
Law passed;01/08/1990;25/12/2017
Law passed;22/02/2012;25/12/2016
Law passed;26/12/2006;27/12/2016
Law passed;25/12/1982;25/12/2011
Law passed;25/03/1994;25/12/2013
Law passed;05/06/2008;25/12/2014
Law passed;05/03/2009;25/12/2014
Law passed;27/01/2005;25/12/2015
Law passed;09/07/2014;25/12/2018
Law passed;25/12/2016;
Law passed;01/09/2015;
Law passed;25/12/2015;
Law passed;20/06/2014;
Law passed;06/06/2014;
Law passed;02/08/2013;
Law passed;03/02/2013;
Law passed;26/06/2013;
Law passed;29/05/2013;
Law passed;05/04/2013;
Original decree;05/04/2013;02/06/2017
Law passed;05/04/2013;
Law passed;26/12/2013;20/12/2014
Law passed;04/03/2011;
Approved by the Council of Ministers;11/11/2011;
Law passed;29/07/2011;26/04/2017
Law passed;30/06/2010;
Law passed;09/07/2010;
Law passed;02/11/2007;
Law passed;15/11/2007;03/07/2014
Law passed;05/07/2002;
Law passed;07/10/1998;17/10/2014
Law passed;09/10/2015;
Law passed;22/10/2016;
Law passed;16/06/2017;
Law passed;06/04/2001;06/10/2017
Law passed;16/02/1998;06/06/2014
Law passed;09/03/2005;25/12/2017
Law passed;30/12/2011;
Law passed;05/10/2018;
Law passed;01/08/2008;
Law passed;22/01/2018;
Law passed;29/03/2014;
Last amendment;25/12/2009;13/12/2013
Law passed;10/06/2017;
Law passed;22/01/2016;
Law passed;22/01/2016;
Law passed;12/11/2016;
Law passed;10/07/2015;
Law passed;05/04/2019;
Decree passed;19/11/2019;
Decree passed;22/11/2019;
Decree passed;23/07/2020;
Approved;20/01/2020;23/09/2020
Plan released;15/06/2020;
Plan adopted;01/09/2020;
Published;03/11/2020;
Published;01/06/2020;
Released;02/06/2020;
Law passed;18/09/2007;
Law passed;25/12/2012;
Law passed;16/11/2010;
Law passed;11/05/2008;
Law passed;31/03/2015;
Law passed;01/09/2019;
Law passed;18/08/2003;
Law passed;13/05/2005;
Law passed;12/11/1964;
Approved;01/01/2014;
Approved;01/01/2016;
Approved;28/12/2010;
Law passed;01/01/1981;30/11/2011
Approved;31/03/2015;
Law passed;11/06/2019;
Law passed;01/01/2015;
Law passed;01/01/2006;
Law passed;01/03/2016;
Law passed;01/02/2013;
Law passed;25/12/2011;01/01/2012
Law passed;01/01/2011;
Law passed;25/12/2010;
Law passed;13/07/2010;
Law passed;30/03/2009;
Law passed;25/12/2009;
Law passed;01/01/1999;
Law passed;14/06/1991;01/11/2013
Law passed;22/06/2017;01/01/2018
Law passed;15/06/2017;
Approved;16/01/2020;
Released;01/07/2020;
Law passed;01/01/2013;25/11/2020
Law passed;01/01/2013;
Law passed;09/04/2014;
Law passed;01/05/2012;
Law passed;01/07/2008;
Federal Heavy Vehicle Fee Act adopted;01/02/2000;01/01/2001
Law passed;01/01/1999;
Law passed;01/01/1993;
Law passed;25/12/2013;
Law passed;25/12/2011;
Law passed;22/02/2009;
Law passed;25/12/2010;
Law passed;04/03/2018;
Law passed;26/01/2017;
Law passed;06/12/2019;
Law passed;08/07/2009;
Law passed;01/07/2015;
Law passed;05/06/2008;
Plan approved;06/11/2017;
Law passed;12/01/2010;
Law passed;02/02/2009;
Law passed;24/04/2008;
Law passed;02/02/2007;
Law passed;06/06/2003;
Law passed;10/05/2002;
Law passed;01/02/1996;
Plan adopted;29/12/2018;
Law passed;25/12/2014;
Law passed;01/06/2012;
Law passed;25/12/2012;
Law passed;25/12/2005;
Law passed;12/10/2019;
Law passed;01/12/2015;
Law passed;01/06/2016;
Law passed;01/10/2013;
Law passed;01/07/2010;
Law passed;01/12/1997;
Law passed;25/12/2018;
Law passed;30/09/2016;
Law passed;11/05/2015;
Law passed;25/12/2010;
Document published;01/12/2013;
Law passed;01/01/2008;
Law passed;27/12/2011;
Law passed;07/07/2007;
Law passed;11/12/2007;
Law passed;03/04/1992;01/06/2008
Law passed;17/09/2015;
Law passed;30/06/2015;
Law passed;13/08/2015;
Law passed;25/12/2015;
Law published;14/07/2016;
Approved;01/01/2017;
Law passed;26/06/2012;
Law passed;13/01/2012;
Law passed;26/07/2007;
Law passed;23/01/2013;
Law passed;03/10/2015;
Law passed;25/12/2011;
Law passed;30/05/2008;
Law passed;23/12/1998;
Law passed;08/06/1999;
Law passed;01/11/2011;
Law passed;01/11/2011;
Law passed;01/07/2010;25/12/2017
Law passed;25/12/2014;
Law passed;25/12/2013;
Law passed;25/12/2012;
Law passed;25/12/2015;
Law passed;25/12/2012;
Law passed;25/12/2013;
Law passed;24/07/2018;
Law passed;25/12/2018;
Law passed;27/08/2010;
Law passed;01/06/2009;25/12/2010
Law passed;01/07/2010;
Law passed;01/02/2016;
Law passed;12/09/2009;
Law passed;17/09/2012;
Approved;01/05/2015;
Law passed;07/11/2019;
Law passed;01/10/2011;
Law passed;01/02/2011;
Law passed;25/12/2006;
Law passed;25/12/2006;
Law passed;25/12/2000;
Law passed;27/01/2014;
Law passed;11/05/2015;
Law passed;26/04/2004;
Law passed;25/12/2007;
Law passed;25/02/2012;
Law passed;02/05/2011;
Law passed;18/04/2007;
Law passed;13/06/2007;
Law passed;18/05/2005;25/12/2010
Law passed;19/06/2005;
Law passed;01/05/2010;
Law passed;14/03/2013;28/07/2020
Law passed;29/06/2011;
Law passed;01/12/2014;
Law passed;02/01/2018;
Law passed;11/11/2019;
Law passed;13/07/1982;
Law passed;20/06/1977;
Law passed;31/05/2012;
Law passed;29/05/2009;
Regulation published;24/06/2016;28/05/2020
Law passed;15/06/2012;
Law passed;25/12/2012;
Law passed;25/12/2012;
Law passed;01/05/2009;
Law passed;18/08/2008;
Law passed;01/01/2007;
Law passed;01/11/2005;
Law passed;01/07/2006;
Law passed;01/01/2016;
Approved;01/01/2012;
Approved;01/01/2016;
Law passed;01/04/2015;
Law passed;25/12/2010;
Law passed;29/03/2007;
Law passed;25/12/1995;
Law passed;15/10/2012;
Law passed;25/12/2007;
Published;07/03/2019;
Law passed;01/03/2006;24/07/2013
Law passed;21/05/2009;
Law passed;16/10/1997;20/11/2012
Law passed;18/08/2005;
Law passed;05/04/2005;07/07/2011
Law passed;20/02/2003;25/09/2008
Law passed;14/01/2000;19/06/2012
Law passed;07/07/1994;05/04/2005
Law passed;08/06/2017;
Law passed;22/06/2017;
Law passed;11/01/2000;25/12/2003
Law passed;08/02/1995;25/12/1999
Law passed;22/05/2019;21/07/2020
Law adopted;12/12/2019;
Law passed;23/12/2018;
Law passed;19/06/2020;
Released;27/10/2020;
Law passed;13/04/2013;
Law passed;25/12/2009;
Law passed;10/01/2017;
Law passed;01/01/2015;
Law passed;01/01/2015;
Law passed;13/06/2017;
Law passed;01/06/2013;19/07/2018
Law passed;01/01/2012;01/04/2013
Law passed;25/12/2011;
Law passed;25/12/2011;25/12/2013
Law passed;01/04/2010;25/12/2014
Law passed;01/04/2010;25/12/2014
Law passed;25/12/2008;26/06/2019
Law passed;25/12/2007;
Law passed;25/12/2006;
Law passed;25/12/2006;
Law passed;25/12/2006;
Law passed;25/12/2002;
Law passed;25/12/2002;
Law passed;25/12/2002;25/12/2008
Law passed;25/12/2002;
Law passed;01/04/2001;01/09/2020
Law passed;25/12/2001;25/12/2018
Law passed;12/05/2016;
Law passed;20/07/2016;
Approved;12/10/2017;
Law passed;08/04/2010;
Strategy published;21/04/2017;
Document released;28/07/2020;
Plan released;08/07/2020;
Approved;12/02/2015;
Approved;02/07/2019;
Law passed;17/02/2009;
Law passed;15/10/2008;
Law passed;18/06/2008;
Law passed;19/12/2007;
Law passed;26/01/2007;
Law passed;08/08/2005;
Law passed;17/12/1963;
Law passed;18/12/2015;
Regulation issued;01/08/2015;01/06/2016
Law passed;08/02/2016;
Law passed;23/09/2014;
Law passed;16/11/1990;
Law passed;23/11/1988;01/08/2016
Law passed;25/12/1972;27/11/2002
Approved;09/02/2018;
Approved;28/12/2020;
Order released;27/01/2021;
Released;20/01/2021;
Law passed;28/11/2008;
Law passed;01/01/2010;
Law passed;30/10/2007;
Law passed;29/05/2002;
Law passed;18/10/2013;
Law passed;22/03/2012;
Law passed;22/02/2012;
Law passed;17/02/2015;
Law passed;20/05/2009;
Law passed;06/06/2016;
Law passed;25/10/2013;
Law passed;09/11/2013;
Law passed;27/12/2010;
Law passed;21/09/2009;
Law passed;18/09/2009;
Law passed;25/12/2010;
Law passed;27/04/2017;
Law passed;27/05/2013;
Law passed;22/08/2009;
Law passed;14/04/2004;09/08/2017
Law passed;19/06/1997;14/05/2020
Law passed;01/03/2013;
Law passed;05/05/2015;
Document released;01/08/2019;
Law passed;01/06/2013;
Law passed;24/01/2011;
Law passed;01/06/2006;
Law passed;09/10/2000;
Law passed;01/07/2016;
Law passed;25/12/2015;
Law passed;01/09/2018;
Approved;01/02/2017;
Approved;01/01/2015;
Law passed;04/12/2013;
Law passed;09/01/2009;
Law passed;12/12/2006;
Law passed;19/12/2011;
Law passed;23/06/2014;01/01/2015
Law passed;19/06/2019;
Law passed;05/07/2013;
Law passed;04/07/2012;31/10/2017
Law passed;04/07/2012;
Law passed;01/12/2019;
Law passed;23/03/2011;
Law passed;29/06/2011;10/09/2018
Law passed;01/01/2010;
Law passed;30/06/2008;
Law passed;30/06/2008;
Law passed;22/06/2007;
Law passed;01/01/2011;
Law passed;28/06/2006;
Document passed;11/04/2017;17/07/2020
Resolution issued;11/02/2020;
Approved;22/01/2015;23/08/2016
Approved;05/10/2012;
Approved;31/12/2013;
Approved;27/10/2016;
Approved;18/08/2016;
Approved;13/07/2009;
Approved;15/08/2014;
Approved;21/11/2012;
Approved;20/06/2012;
Adopted;29/09/2020;
Law passed;25/12/2005;
Law passed;29/10/1995;
Law passed;11/03/2009;
Law passed;01/06/2009;
Law passed;01/03/2012;31/05/2013
Law passed;25/12/2005;
Law passed;28/04/1995;10/04/2008
Law passed;10/04/2008;
Law passed;08/10/2015;
Law passed;18/04/2011;
Law passed;01/12/2010;
Law passed;05/01/2016;
Law passed;01/11/2007;
Law passed;01/05/2008;
Law passed;01/08/2011;
Law passed;01/01/2015;
Law passed;25/12/2015;
Law passed;25/12/2014;
Law passed;01/04/2016;
Law passed;25/12/2016;
Law passed;25/12/2017;
Approved;01/04/2015;
Approved;13/04/2010;
Approved;25/12/2012;
Law passed;03/07/2011;
Law passed;22/09/2011;
Original version;17/03/2003;07/04/2006
Law passed;01/08/2003;
Law passed;19/11/2019;
Law passed;11/06/2018;
Law passed;11/06/2018;
Law passed;25/12/1989;25/12/2001
Law passed;12/12/2019;
Policy released;19/03/2020;
Policy launched;19/03/2020;